,pickup_latlon,dropoff_latlon,trips_per_day,trip_distance_kms
237,"(41.859349715, -87.617358006)","(41.899155613, -87.626210532)",4,5.392
238,"(41.97907082, -87.903039661)","(41.914616286, -87.631717366)",2,26.08
239,"(41.870607372, -87.622172937)","(41.849246754, -87.624135298)",2,2.9920000000000004
240,"(41.9867118, -87.663416405)","(41.944226601, -87.655998182)",2,3.792
241,"(41.884987192, -87.620992913)","(41.949220914, -87.651970395)",2,9.44
242,"(41.901206994, -87.676355989)","(41.874005383, -87.66351755)",2,1.408
243,"(41.980264315, -87.913624596)","(41.938666196, -87.711210593)",2,19.535999999999998
244,"(41.878865584, -87.625192142)","(41.850266366, -87.667569312)",2,5.6000000000000005
245,"(41.857183858, -87.620334624)","(41.842076117, -87.633973422)",2,0.0
246,"(41.922686284, -87.649488729)","(41.874005383, -87.66351755)",2,0.3200000000000001
247,"(41.878865584, -87.625192142)","(41.9867118, -87.663416405)",2,13.712000000000002
248,"(41.884987192, -87.620992913)","(41.879066994, -87.657005027)",2,4.064
249,"(41.877406123, -87.621971652)","(41.89321636, -87.63784421)",2,3.84
250,"(41.849246754, -87.624135298)","(41.892507781, -87.626214906)",2,0.0
251,"(41.980264315, -87.913624596)","(42.009622881, -87.670166857)",2,21.6
252,"(41.877406123, -87.621971652)","(41.785998518, -87.750934289)",2,19.680000000000003
253,"(41.79259236, -87.769615453)","(41.794090253, -87.592310855)",2,22.144
254,"(41.901206994, -87.676355989)","(41.878865584, -87.625192142)",2,1.872
255,"(41.980264315, -87.913624596)","(41.874005383, -87.66351755)",2,28.511999999999997
256,"(41.980264315, -87.913624596)","(41.975170943, -87.687515515)",2,20.784
257,"(41.97907082, -87.903039661)","(41.891971508, -87.612945414)",2,29.28
258,"(41.9867118, -87.663416405)","(42.009622881, -87.670166857)",2,0.16000000000000006
259,"(41.899155613, -87.626210532)","(41.907520075, -87.6266589)",2,0.0
260,"(41.859349715, -87.617358006)","(41.891971508, -87.612945414)",2,0.16000000000000006
261,"(41.880994471, -87.632746489)","(41.89830587, -87.653613982)",2,0.0
262,"(41.944226601, -87.655998182)","(41.947791586, -87.683834942)",1,4.08
263,"(41.88528132, -87.6572332)","(41.884987192, -87.620992913)",1,2.352
264,"(41.96581197, -87.655878786)","(41.878865584, -87.625192142)",1,1.9040000000000001
265,"(41.892507781, -87.626214906)","(41.849246754, -87.624135298)",1,0.16000000000000006
266,"(41.849246754, -87.624135298)","(41.890922026, -87.618868355)",1,4.64
267,"(41.794090253, -87.592310855)","(41.899602111, -87.633308037)",1,14.192
268,"(41.9867118, -87.663416405)","(41.878865584, -87.625192142)",1,0.8
269,"(41.79259236, -87.769615453)","(41.922686284, -87.649488729)",1,23.12
270,"(41.9867118, -87.663416405)","(41.975170943, -87.687515515)",1,4.096
271,"(41.874005383, -87.66351755)","(41.92276062, -87.699155343)",1,8.0
272,"(41.944226601, -87.655998182)","(41.874005383, -87.66351755)",1,12.544
273,"(41.898331794, -87.620762865)","(41.785998518, -87.750934289)",3,20.8
274,"(41.904935302, -87.649907226)","(41.880994471, -87.632746489)",1,0.0
275,"(41.785998518, -87.750934289)","(41.89321636, -87.63784421)",1,17.6
276,"(41.885300022, -87.642808466)","(41.859349715, -87.617358006)",1,0.0
277,"(41.907520075, -87.6266589)","(41.884987192, -87.620992913)",1,2.5600000000000005
278,"(41.899155613, -87.626210532)","(41.859349715, -87.617358006)",3,5.456
279,"(41.892507781, -87.626214906)","(41.949220914, -87.651970395)",1,0.48
280,"(41.849246754, -87.624135298)","(41.877406123, -87.621971652)",1,3.04
281,"(41.79259236, -87.769615453)","(41.944226601, -87.655998182)",1,27.360000000000007
282,"(41.980264315, -87.913624596)","(41.953582125, -87.72345239)",1,21.055999999999997
283,"(41.899602111, -87.633308037)","(41.835117986, -87.618677767)",1,5.44
284,"(41.859349715, -87.617358006)","(41.867902418, -87.642958665)",1,0.16000000000000006
285,"(41.870607372, -87.622172937)","(41.877406123, -87.621971652)",1,18.24
